text,label
"Deeply regret buying this, absolute waste.",negative
"Awful experience, customer service was horrible.",negative
"Terrible product, broke after one day.",negative
"Reasonable quality, got what I paid for.",neutral
"Neither good nor bad, just average.",neutral
"Very happy with this purchase, it works great!",positive
"Good product, but the packaging was a bit damaged.",positive
"Waste of money, do not buy this.",negative
"Very disappointed, does not work as described.",negative
"Not worth the price, very cheaply made.",negative
Perfect! Exactly what I needed.,positive
"Okay product, met basic expectations.",neutral
"Satisfactory, nothing to complain about.",neutral
"Average quality, does what it says.",neutral
"Stopped working after a week, very frustrating.",negative
"Acceptable, but I expected more.",neutral
"Great quality, fast shipping, highly recommend!",positive
"Poor quality, fell apart immediately.",negative
"Horrible product, packaging was also broken.",negative
"Absolutely love it, exceeded my expectations.",positive
"Complete junk, nothing like the description.",negative
"Not bad, not great, just okay.",neutral
"Excellent value for money, will buy again.",positive
Works fine but nothing exceptional.,neutral
"Outstanding quality, best I have ever used.",positive
Really pleased with the product and service.,positive
Decent product for the price.,neutral
This product is amazing! Totally worth the money.,positive
"Works perfectly, very satisfied with the purchase.",positive
"It is okay, nothing special.",neutral
